duplicate_id;duplicate_reason
38058;village_mkt_flows_to_other_destinations                                                             
38059;village_mkt_flows_to_other_destinations                                                             
38079;village_mkt_flows_to_other_destinations                                                             
38083;village_mkt_flows_to_other_destinations                                                             
38085;village_mkt_flows_to_other_destinations                                                             
38086;village_mkt_flows_to_other_destinations                                                             
38091;village_mkt_flows_to_other_destinations                                                             
38096;village_mkt_flows_to_other_destinations                                                             
38097;village_mkt_flows_to_other_destinations                                                             
38222;village_mkt_flows_to_other_destinations                                                             
38223;village_mkt_flows_to_other_destinations                                                             
38227;village_mkt_flows_to_other_destinations                                                             
38246;village_mkt_flows_to_other_destinations                                                             
38249;village_mkt_flows_to_other_destinations                                                             
38250;village_mkt_flows_to_other_destinations                                                             
38255;village_mkt_flows_to_other_destinations                                                             
38263;village_mkt_flows_to_other_destinations                                                             
38264;village_mkt_flows_to_other_destinations                                                             
38265;village_mkt_flows_to_other_destinations                                                             
38267;village_mkt_flows_to_other_destinations                                                             
38268;village_mkt_flows_to_other_destinations                                                             
38278;village_mkt_flows_to_other_destinations                                                             
38279;village_mkt_flows_to_other_destinations                                                             
38281;village_mkt_flows_to_other_destinations                                                             
38282;village_mkt_flows_to_other_destinations                                                             
38286;village_mkt_flows_to_other_destinations                                                             
38304;village_mkt_flows_to_other_destinations                                                             
38317;village_mkt_flows_to_other_destinations                                                             
38320;village_mkt_flows_to_other_destinations                                                             
38321;village_mkt_flows_to_other_destinations                                                             
38331;village_mkt_flows_to_other_destinations                                                             
38336;village_mkt_flows_to_other_destinations                                                             
38347;village_mkt_flows_to_other_destinations                                                             
38348;village_mkt_flows_to_other_destinations                                                             
38349;village_mkt_flows_to_other_destinations                                                             
38350;village_mkt_flows_to_other_destinations                                                             
38352;village_mkt_flows_to_other_destinations                                                             
38361;village_mkt_flows_to_other_destinations                                                             
38364;village_mkt_flows_to_other_destinations                                                             
38365;village_mkt_flows_to_other_destinations                                                             
38366;village_mkt_flows_to_other_destinations                                                             
38367;village_mkt_flows_to_other_destinations                                                             
38368;village_mkt_flows_to_other_destinations                                                             
38374;village_mkt_flows_to_other_destinations                                                             
38376;village_mkt_flows_to_other_destinations                                                             
38377;village_mkt_flows_to_other_destinations                                                             
38379;village_mkt_flows_to_other_destinations                                                             
38380;village_mkt_flows_to_other_destinations                                                             
38381;village_mkt_flows_to_other_destinations                                                             
38385;village_mkt_flows_to_other_destinations                                                             
38386;village_mkt_flows_to_other_destinations                                                             
38387;village_mkt_flows_to_other_destinations                                                             
38397;village_mkt_flows_to_other_destinations                                                             
38398;village_mkt_flows_to_other_destinations                                                             
38409;village_mkt_flows_to_other_destinations                                                             
38410;village_mkt_flows_to_other_destinations                                                             
38420;village_mkt_flows_to_other_destinations                                                             
38421;village_mkt_flows_to_other_destinations                                                             
43806;village_mkt_flows_to_other_destinations                                                             
43807;village_mkt_flows_to_other_destinations                                                             
43809;village_mkt_flows_to_other_destinations                                                             
43813;village_mkt_flows_to_other_destinations                                                             
43814;village_mkt_flows_to_other_destinations                                                             
43816;village_mkt_flows_to_other_destinations                                                             
43817;village_mkt_flows_to_other_destinations                                                             
43818;village_mkt_flows_to_other_destinations                                                             
43819;village_mkt_flows_to_other_destinations                                                             
43820;village_mkt_flows_to_other_destinations                                                             
21727;duplicate_aboabo_mkt_flows                                                                          
20125;duplicate_aboabo_mkt_flows                                                                          
29982;duplicate_aboabo_mkt_flows                                                                          
29980;duplicate_aboabo_mkt_flows                                                                          
29983;duplicate_aboabo_mkt_flows                                                                          
25387;duplicate_aboabo_mkt_flows                                                                          
22144;duplicate_aboabo_mkt_flows                                                                          
12577;duplicate_aboabo_mkt_flows                                                                          
34592;duplicate_aboabo_mkt_flows                                                                          
34590;duplicate_aboabo_mkt_flows                                                                          
17660;duplicate_aboabo_mkt_flows                                                                          
17662;duplicate_aboabo_mkt_flows                                                                          
9940;duplicate_aboabo_mkt_flows                                                                          
9939;duplicate_aboabo_mkt_flows                                                                          
17297;duplicate_aboabo_mkt_flows                                                                          
4080;duplicate_aboabo_mkt_flows                                                                          
19217;duplicate_aboabo_mkt_flows                                                                          
15620;duplicate_aboabo_mkt_flows                                                                          
15622;duplicate_aboabo_mkt_flows                                                                          
16534;duplicate_aboabo_mkt_flows                                                                          
12665;duplicate_aboabo_mkt_flows                                                                          
12664;duplicate_aboabo_mkt_flows                                                                          
11242;duplicate_aboabo_mkt_flows                                                                          
11243;duplicate_aboabo_mkt_flows                                                                          
15194;duplicate_aboabo_mkt_flows                                                                          
11283;duplicate_aboabo_mkt_flows                                                                          
11100;duplicate_aboabo_mkt_flows                                                                          
15277;duplicate_aboabo_mkt_flows                                                                          
14795;duplicate_aboabo_mkt_flows                                                                          
11366;duplicate_aboabo_mkt_flows                                                                          
11369;duplicate_aboabo_mkt_flows                                                                          
11368;duplicate_aboabo_mkt_flows                                                                          
11367;duplicate_aboabo_mkt_flows                                                                          
38062;duplicate_aboabo_mkt_flows                                                                          
13700;duplicate_aboabo_mkt_flows                                                                          
13699;duplicate_aboabo_mkt_flows                                                                          
13697;duplicate_aboabo_mkt_flows                                                                          
19390;duplicate_aboabo_mkt_flows                                                                          
19282;duplicate_aboabo_mkt_flows                                                                          
19283;duplicate_aboabo_mkt_flows                                                                          
11581;duplicate_aboabo_mkt_flows                                                                          
22142;duplicate_aboabo_mkt_flows                                                                          
16718;duplicate_aboabo_mkt_flows                                                                          
19212;duplicate_aboabo_mkt_flows                                                                          
16755;duplicate_aboabo_mkt_flows                                                                          
19620;duplicate_aboabo_mkt_flows                                                                          
19621;duplicate_aboabo_mkt_flows                                                                          
16394;duplicate_aboabo_mkt_flows                                                                          
16397;duplicate_aboabo_mkt_flows                                                                          
13045;duplicate_aboabo_mkt_flows                                                                          
20715;duplicate_aboabo_mkt_flows                                                                          
14428;duplicate_aboabo_mkt_flows                                                                          
21695;duplicate_aboabo_mkt_flows                                                                          
21694;duplicate_aboabo_mkt_flows                                                                          
21696;duplicate_aboabo_mkt_flows                                                                          
21697;duplicate_aboabo_mkt_flows                                                                          
18732;duplicate_aboabo_mkt_flows                                                                          
38069;duplicate_aboabo_mkt_flows                                                                          
30322;duplicate_aboabo_mkt_flows                                                                          
20018;duplicate_aboabo_mkt_flows                                                                          
33243;duplicate_aboabo_mkt_flows                                                                          
33262;duplicate_aboabo_mkt_flows                                                                          
29241;duplicate_aboabo_mkt_flows                                                                          
29240;duplicate_aboabo_mkt_flows                                                                          
19975;duplicate_aboabo_mkt_flows                                                                          
19977;duplicate_aboabo_mkt_flows                                                                          
21933;duplicate_aboabo_mkt_flows                                                                          
21934;duplicate_aboabo_mkt_flows                                                                          
11582;duplicate_aboabo_mkt_flows                                                                          
18320;duplicate_aboabo_mkt_flows                                                                          
