id;label;type;spatial_category;distance_to_focal_city_km;fid_africapolis_near_settlement;distance_to_next_settlement_km;size_africapolis_near_settlement;name_africapolis_near_settlement;classification_rural_urban;spatial_category_revised;travel_time_h
422;Ouaregou                                                                                            ;cities and towns outside Greater Ouagadougou      ;national                                          ;109.572255;2409;1.672846453;32472;Beguedo                                           ;Urban                                             ;national                                          ;2.92655
292;Kongoussi                                                                                           ;cities and towns outside Greater Ouagadougou      ;national                                          ;105.634219;2407;0.101006891;32490;Kongoussi                                         ;Urban                                             ;national                                          ;2.124236111
296;R?o                                                                                                 ;cities and towns outside Greater Ouagadougou      ;national                                          ;102.900143;2159;1.623349195;35616;Reo                                               ;Urban                                             ;national                                          ;2.216572222
452;Bonyolo                                                                                             ;cities and towns outside Greater Ouagadougou      ;national                                          ;106.072887;2159;6.364776141;35616;Reo                                               ;Rural                                             ;national                                          ;2.286966667
290;L?o                                                                                                 ;cities and towns outside Greater Ouagadougou      ;national                                          ;154.021099;2137;1.169319533;35900;Leo                                               ;Urban                                             ;national                                          ;2.644997222
747;Boura (close to Ghana)                                                                              ;cities and towns outside Greater Ouagadougou      ;national                                          ;181.464149;2137;44.97442489;35900;Leo                                               ;Rural                                             ;national                                          ;3.412083333
387;Djibo                                                                                               ;cities and towns outside Greater Ouagadougou      ;national                                          ;192.102361;2023;0.413045538;38290;Djibo                                             ;Urban                                             ;national                                          ;4.992013889
523;Filio                                                                                               ;cities and towns outside Greater Ouagadougou      ;national                                          ;214.451326;2023;43.22101102;38290;Djibo                                             ;Rural                                             ;national                                          ;5.5463
336;Sangha                                                                                              ;cities and towns outside Greater Ouagadougou      ;national                                          ;225.697646;1895;17.36148027;40336;Cinkassi/Cinkans? [TGO]                           ;Rural                                             ;national                                          ;4.079063889
330;Garango                                                                                             ;cities and towns outside Greater Ouagadougou      ;national                                          ;123.259947;1728;0.545725716;44086;Garango                                           ;Urban                                             ;national                                          ;2.593444444
291;D?dougou                                                                                            ;cities and towns outside Greater Ouagadougou      ;national                                          ;210.457465;1485;0.702340393;50090;Dedougou                                          ;Urban                                             ;national                                          ;3.693766667
321;Douroula                                                                                            ;cities and towns outside Greater Ouagadougou      ;national                                          ;194.497695;1485;21.27014713;50090;Dedougou                                          ;Rural                                             ;national                                          ;4.121494444
401;Fakouna                                                                                             ;cities and towns outside Greater Ouagadougou      ;national                                          ;207.572215;1485;13.17281577;50090;Dedougou                                          ;Rural                                             ;national                                          ;3.987638889
402;Karo                                                                                                ;cities and towns outside Greater Ouagadougou      ;national                                          ;193.072428;1485;20.30680002;50090;Dedougou                                          ;Rural                                             ;national                                          ;3.395866667
403;Toroba                                                                                              ;cities and towns outside Greater Ouagadougou      ;national                                          ;185.867649;1485;24.28398242;50090;Dedougou                                          ;Rural                                             ;national                                          ;3.891316667
404;Poundou                                                                                             ;cities and towns outside Greater Ouagadougou      ;national                                          ;224.706166;1485;32.69822759;50090;Dedougou                                          ;Rural                                             ;national                                          ;4.236386111
308;Founzan                                                                                             ;cities and towns outside Greater Ouagadougou      ;national                                          ;211.535236;1382;31.66014379;54102;Hounde                                            ;Rural                                             ;national                                          ;2.807838889
370;Fouzan                                                                                              ;cities and towns outside Greater Ouagadougou      ;national                                          ;211.995784;1382;31.4814456;54102;Hounde                                            ;Rural                                             ;national                                          ;2.812608333
397;Bonza                                                                                               ;cities and towns outside Greater Ouagadougou      ;national                                          ;212.216267;1382;33.90597639;54102;Hounde                                            ;Rural                                             ;national                                          ;2.946386111
486;Dossi                                                                                               ;cities and towns outside Greater Ouagadougou      ;national                                          ;224.895646;1382;13.55370447;54102;Hounde                                            ;Rural                                             ;national                                          ;2.937047222
488;Bouahoun                                                                                            ;cities and towns outside Greater Ouagadougou      ;national                                          ;221.603267;1382;17.08712137;54102;Hounde                                            ;Rural                                             ;national                                          ;2.919783333
489;Dohoun                                                                                              ;cities and towns outside Greater Ouagadougou      ;national                                          ;243.445031;1382;11.38866827;54102;Hounde                                            ;Rural                                             ;national                                          ;3.411191667
534;Hound?                                                                                              ;cities and towns outside Greater Ouagadougou      ;national                                          ;238.096985;1382;0.860512978;54102;Hounde                                            ;Urban                                             ;national                                          ;2.995297222
733;P?                                                                                                  ;cities and towns outside Greater Ouagadougou      ;national                                          ;209.439972;1382;29.44227484;54102;Hounde                                            ;Rural                                             ;national                                          ;2.648169444
287;Tenkodogo                                                                                           ;cities and towns outside Greater Ouagadougou      ;national                                          ;141.867328;1338;2.179046955;55889;Tenkodogo                                         ;Urban                                             ;national                                          ;2.216558333
423;Kampoaga                                                                                            ;cities and towns outside Greater Ouagadougou      ;national                                          ;156.40401;1338;17.8417869;55889;Tenkodogo                                         ;Rural                                             ;national                                          ;3.062416667
441;Boulga                                                                                              ;cities and towns outside Greater Ouagadougou      ;national                                          ;147.061072;1338;15.65626936;55889;Tenkodogo                                         ;Rural                                             ;national                                          ;
358;Tibga                                                                                               ;cities and towns outside Greater Ouagadougou      ;national                                          ;173.547913;1318;36.14201939;56602;Fada-N'Gourma                                     ;Rural                                             ;national                                          ;2.341258333
466;Balga                                                                                               ;cities and towns outside Greater Ouagadougou      ;national                                          ;187.773656;1318;25.96726378;56602;Fada-N'Gourma                                     ;Rural                                             ;national                                          ;2.766447222
467;Namoungou                                                                                           ;cities and towns outside Greater Ouagadougou      ;national                                          ;234.477278;1318;25.4684626;56602;Fada-N'Gourma                                     ;Rural                                             ;national                                          ;2.968266667
538;Gayri                                                                                               ;cities and towns outside Greater Ouagadougou      ;national                                          ;221.024194;1318;66.61814666;56602;Fada-N'Gourma                                     ;Rural                                             ;national                                          ;4.683227778
