source_specification;source_specification_corrected
Stock                                                                                               ;Warehouse                                                                                           
OPAM                                                                                                ;Warehouse                                                                                           
Magasin de Distribution                                                                             ;Warehouse                                                                                           
Magasin                                                                                             ;Warehouse                                                                                           
Entrepot                                                                                            ;Warehouse                                                                                           
Depot                                                                                               ;Warehouse                                                                                           
Boutique                                                                                            ;Warehouse                                                                                           
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
