id;label;type;spatial_category;distance_to_focal_city_km;fid_africapolis_near_settlement;distance_to_next_settlement_km;size_africapolis_near_settlement;name_africapolis_near_settlement;classification_rural_urban;spatial_category_revised;travel_time_h
199;Gory Diafounou                                                                                      ;Town outside greater Bamako                       ;national                                          ;403.987754;7555;0.404475655;10074;Foungou                                           ;Urban                                             ;national                                          ;8.378452778
622;Kabat?                                                                                              ;Town outside greater Bamako                       ;national                                          ;404.440306;398;26.34383095;176849;Kayes                                             ;Rural                                             ;national                                          ;6.970158333
524;Bidadji                                                                                             ;Town outside greater Bamako                       ;national                                          ;405.903059;5151;7.720675051;15507;Toya                                              ;Rural                                             ;national                                          ;8.742977778
594;Ouan                                                                                                ;Town outside greater Bamako                       ;national                                          ;406.406865;2430;28.65050999;32211;Djenne                                            ;Rural                                             ;national                                          ;6.541469444
522;Sanbaga                                                                                             ;Town outside greater Bamako                       ;national                                          ;406.59983;7555;4.729543302;10074;Foungou                                           ;Rural                                             ;national                                          ;8.456388889
190;Gagna                                                                                               ;Town outside greater Bamako                       ;national                                          ;406.806694;2430;13.1218709;32211;Djenne                                            ;Rural                                             ;national                                          ;7.741052778
612;Diadioumb?ra                                                                                        ;Town outside greater Bamako                       ;national                                          ;407.037227;6561;24.27330333;11799;Kersignane                                        ;Rural                                             ;national                                          ;7.555711111
523;Kom?oulou                                                                                           ;Town outside greater Bamako                       ;national                                          ;407.452322;7555;6.007619103;10074;Foungou                                           ;Rural                                             ;national                                          ;8.412188889
436;Tambacara                                                                                           ;Town outside greater Bamako                       ;national                                          ;407.939258;7555;9.387772563;10074;Foungou                                           ;Rural                                             ;national                                          ;8.366563889
400;Sero                                                                                                ;Town outside greater Bamako                       ;national                                          ;409.143731;6561;22.0857107;11799;Kersignane                                        ;Rural                                             ;national                                          ;7.581258333
275;Koula (in Koula, Tominian)                                                                          ;Town outside greater Bamako                       ;national                                          ;409.629989;7520;65.18347878;10107;Marena                                            ;Rural                                             ;national                                          ;6.997122222
370;Uro Modi                                                                                            ;Town outside greater Bamako                       ;national                                          ;410.003806;5693;39.74279877;13825;Tenenkou                                          ;Rural                                             ;national                                          ;8.403083333
298;Madiama                                                                                             ;Town outside greater Bamako                       ;national                                          ;410.772206;2430;21.56000377;32211;Djenne                                            ;Rural                                             ;national                                          ;6.795197222
625;Gabou                                                                                               ;Town outside greater Bamako                       ;national                                          ;411.172878;398;18.19182202;176849;Kayes                                             ;Rural                                             ;national                                          ;7.184602778
135;Diondori                                                                                            ;Town outside greater Bamako                       ;national                                          ;411.179307;5693;23.43807424;13825;Tenenkou                                          ;Rural                                             ;national                                          ;8.680136111
136;Diongaga                                                                                            ;Town outside greater Bamako                       ;national                                          ;411.493967;7555;13.26531684;10074;Foungou                                           ;Rural                                             ;national                                          ;8.343344444
149;Dogofry                                                                                             ;Town outside greater Bamako                       ;national                                          ;412.222696;6561;5.016402615;11799;Kersignane                                        ;Rural                                             ;national                                          ;8.141958333
319;Moura                                                                                               ;Town outside greater Bamako                       ;national                                          ;412.414787;5693;37.32301534;13825;Tenenkou                                          ;Rural                                             ;national                                          ;8.464597222
508;Kersignan?                                                                                          ;Town outside greater Bamako                       ;national                                          ;414.579661;6561;0.368961402;11799;Kersignane                                        ;Urban                                             ;national                                          ;8.091536111
203;Goumera                                                                                             ;Town outside greater Bamako                       ;national                                          ;415.394988;398;20.19640139;176849;Kayes                                             ;Rural                                             ;national                                          ;7.439797222
276;Kouloum                                                                                             ;Town outside greater Bamako                       ;national                                          ;416.252147;398;8.016180099;176849;Kayes                                             ;Urban                                             ;national                                          ;7.268394444
433;Taga-Tellela                                                                                        ;Town outside greater Bamako                       ;national                                          ;416.498592;2430;18.79767967;32211;Djenne                                            ;Rural                                             ;national                                          ;8.035269444
271;Kouakourou                                                                                          ;Town outside greater Bamako                       ;national                                          ;417.643803;2430;36.02976215;32211;Djenne                                            ;Rural                                             ;national                                          ;8.638041667
636;ATT bougou                                                                                          ;Suburb outside greater Bamako                     ;national                                          ;419.864503;398;4.400673579;176849;Kayes                                             ;Urban                                             ;national                                          ;7.252780556
643;Hamdallaye                                                                                          ;Suburb outside greater Bamako                     ;national                                          ;419.998946;398;5.028700351;176849;Kayes                                             ;Urban                                             ;national                                          ;7.253655556
650;Khasso Extension                                                                                    ;Suburb outside greater Bamako                     ;national                                          ;420.031503;398;2.78684722;176849;Kayes                                             ;Urban                                             ;national                                          ;7.331272222
649;Plateau Extension                                                                                   ;Suburb outside greater Bamako                     ;national                                          ;420.460595;398;2.414239947;176849;Kayes                                             ;Urban                                             ;national                                          ;7.336163889
642;Soukoutoule                                                                                         ;Suburb outside greater Bamako                     ;national                                          ;420.87822;398;3.128968977;176849;Kayes                                             ;Urban                                             ;national                                          ;7.2943
639;Benkounda                                                                                           ;Suburb outside greater Bamako                     ;national                                          ;421.149044;398;1.991193833;176849;Kayes                                             ;Urban                                             ;national                                          ;7.373425
640;Khasso Campement                                                                                    ;Suburb outside greater Bamako                     ;national                                          ;421.392194;398;1.735770162;176849;Kayes                                             ;Urban                                             ;national                                          ;7.297072222
641;Kayes N'Di Est                                                                                      ;Suburb outside greater Bamako                     ;national                                          ;421.770076;398;2.37446692;176849;Kayes                                             ;Urban                                             ;national                                          ;7.271686111
626;Gory Gop?la                                                                                         ;Town outside greater Bamako                       ;national                                          ;422.035185;398;22.64782256;176849;Kayes                                             ;Rural                                             ;national                                          ;7.698616667
4;Kayes                                                                                               ;City outside greater Bamako                       ;national                                          ;422.308477;398;0.674464118;176849;Kayes                                             ;Urban                                             ;national                                          ;7.277983333
637;Kayes N'Di                                                                                          ;Suburb outside greater Bamako                     ;national                                          ;422.529844;398;2.138382316;176849;Kayes                                             ;Urban                                             ;national                                          ;7.272977778
644;Kayes N'Di Dral                                                                                     ;Suburb outside greater Bamako                     ;national                                          ;422.582324;398;2.778273252;176849;Kayes                                             ;Urban                                             ;national                                          ;7.275197222
1100;Grand Market  (Kayes)                                                                               ;Market outside Bamako                             ;national                                          ;422.582661;398;1.097345504;176849;Kayes                                             ;Urban                                             ;national                                          ;7.278002778
651;Liberte                                                                                             ;Suburb outside greater Bamako                     ;national                                          ;422.77476;398;0.561151357;176849;Kayes                                             ;Urban                                             ;national                                          ;7.282480556
648;Lafiabougou Sud                                                                                     ;Suburb outside greater Bamako                     ;national                                          ;423.4013;398;1.650751028;176849;Kayes                                             ;Urban                                             ;national                                          ;7.368033333
453;Tombona                                                                                             ;Town outside greater Bamako                       ;national                                          ;423.445703;5878;13.48849234;13321;Sofara                                            ;Rural                                             ;national                                          ;7.07565
645;Kayes N'Di Ouest                                                                                    ;Suburb outside greater Bamako                     ;national                                          ;423.465257;398;2.321131869;176849;Kayes                                             ;Urban                                             ;national                                          ;7.300797222
638;Faradara                                                                                            ;Suburb outside greater Bamako                     ;national                                          ;423.468588;398;2.091625444;176849;Kayes                                             ;Urban                                             ;national                                          ;7.399905556
646;Legal-Segou                                                                                         ;Suburb outside greater Bamako                     ;national                                          ;423.761395;398;1.360163162;176849;Kayes                                             ;Urban                                             ;national                                          ;7.290519444
647;Lafiabougou (Kayes)                                                                                 ;Suburb outside greater Bamako                     ;national                                          ;424.090252;398;1.639398855;176849;Kayes                                             ;Urban                                             ;national                                          ;7.378925
377;Sadiola                                                                                             ;Town outside greater Bamako                       ;national                                          ;424.909538;5983;0.723549055;13048;Sadiola                                           ;Urban                                             ;national                                          ;9.364136111
291;Lanfiala                                                                                            ;Town outside greater Bamako                       ;national                                          ;427.859569;6757;49.57846655;11358;Tori                                              ;Rural                                             ;national                                          ;7.630552778
112;Diala-Banlieu                                                                                       ;Town outside greater Bamako                       ;national                                          ;428.505758;398;5.690266659;176849;Kayes                                             ;Urban                                             ;national                                          ;7.363652778
623;Koumar?fara                                                                                         ;Town outside greater Bamako                       ;national                                          ;428.818378;398;32.10627559;176849;Kayes                                             ;Rural                                             ;national                                          ;8.063491667
582;Koussan?                                                                                            ;Town outside greater Bamako                       ;national                                          ;428.892825;6561;29.4766812;11799;Kersignane                                        ;Rural                                             ;national                                          ;8.714891667
995;Nionsonbougou                                                                                       ;Village outside greater Bamako                    ;national                                          ;429.035426;398;13.39147626;176849;Kayes                                             ;Rural                                             ;national                                          ;7.810508333
624;Sirimoulou                                                                                          ;Town outside greater Bamako                       ;national                                          ;430.095969;398;36.63900599;176849;Kayes                                             ;Rural                                             ;national                                          ;8.218383333
446;Timissa                                                                                             ;Town outside greater Bamako                       ;national                                          ;431.040865;5878;21.84469822;13321;Sofara                                            ;Rural                                             ;national                                          ;7.213247222
61;Bangassi                                                                                            ;Town outside greater Bamako                       ;national                                          ;431.536233;398;8.89926568;176849;Kayes                                             ;Urban                                             ;national                                          ;7.517358333
